
2025/04/24 (11:01:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:42) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:42) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:42) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:44) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:44) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:46) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:46) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:48) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:48) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:50) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:50) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:50) | WARNING: ROCm SMI: Failed to get GPU power usage
